Total records: 64

 Index   |  Number  |   Parity 1   |   Parity 2   |  Status 
   1     |    55    |      1       |      1       |    OK   
   2     |   102    |      0       |      0       |    OK   
   3     |    72    |      0       |      0       |    OK   
   4     |   123    |      0       |      0       |    OK   
   5     |    26    |      1       |      1       |    OK   
   6     |    51    |      0       |      0       |    OK   
   7     |    75    |      0       |      0       |    OK   
   8     |    44    |      1       |      1       |    OK   
   9     |   100    |      1       |      0       | INVALID 
   10    |    19    |      1       |      1       |    OK   
   11    |   124    |      1       |      1       |    OK   
   12    |    14    |      1       |      0       | INVALID 
   13    |    47    |      1       |      1       |    OK   
   14    |   117    |      1       |      1       |    OK   
   15    |    11    |      1       |      0       | INVALID 
   16    |    16    |      1       |      1       |    OK   
   17    |    23    |      0       |      0       |    OK   
   18    |   106    |      0       |      0       |    OK   
   19    |   115    |      1       |      1       |    OK   
   20    |    30    |      0       |      1       | INVALID 
   21    |    48    |      0       |      0       |    OK   
   22    |    94    |      1       |      1       |    OK   
   23    |    40    |      0       |      0       |    OK   
   24    |    76    |      1       |      0       | INVALID 
   25    |    53    |      0       |      1       | INVALID 
   26    |    38    |      1       |      1       |    OK   
   27    |    23    |      0       |      0       |    OK   
   28    |    47    |      1       |      1       |    OK   
   29    |   114    |      0       |      0       |    OK   
   30    |   105    |      0       |      1       | INVALID 
   31    |   103    |      1       |      1       |    OK   
   32    |    63    |      0       |      0       |    OK   
   33    |   113    |      0       |      0       |    OK   
   34    |    68    |      0       |      0       |    OK   
   35    |    12    |      0       |      0       |    OK   
   36    |    30    |      0       |      1       | INVALID 
   37    |    66    |      0       |      0       |    OK   
   38    |    51    |      0       |      1       | INVALID 
   39    |    94    |      1       |      1       |    OK   
   40    |    53    |      0       |      0       |    OK   
   41    |   123    |      0       |      0       |    OK   
   42    |    50    |      1       |      1       |    OK   
   43    |   116    |      0       |      0       |    OK   
   44    |   114    |      0       |      1       | INVALID 
   45    |    47    |      1       |      0       | INVALID 
   46    |   111    |      0       |      0       |    OK   
   47    |    38    |      1       |      1       |    OK   
   48    |    15    |      0       |      0       |    OK   
   49    |   100    |      1       |      1       |    OK   
   50    |    21    |      1       |      1       |    OK   
   51    |    15    |      0       |      0       |    OK   
   52    |    64    |      1       |      1       |    OK   
   53    |    24    |      0       |      0       |    OK   
   54    |   112    |      1       |      1       |    OK   
   55    |    93    |      1       |      1       |    OK   
   56    |    14    |      1       |      1       |    OK   
   57    |    4     |      1       |      1       |    OK   
   58    |    19    |      1       |      0       | INVALID 
   59    |    50    |      1       |      1       |    OK   
   60    |    2     |      1       |      1       |    OK   
   61    |    14    |      1       |      1       |    OK   
   62    |   103    |      1       |      1       |    OK   
   63    |   119    |      0       |      0       |    OK   
   64    |    89    |      0       |      0       |    OK   

SUMMARY: Errors were found at indices: [9, 12, 15, 20, 24, 25, 30, 36, 38, 44, 45, 58]
