Total de registos: 64

 Índice  |  Número  |  Paridade 1  |  Paridade 2  |  Status 
   1     |   104    |      1       |      1       |    OK   
   2     |    16    |      1       |      1       |    OK   
   3     |    6     |      0       |      0       |    OK   
   4     |    84    |      1       |      1       |    OK   
   5     |    15    |      0       |      0       |    OK   
   6     |    87    |      1       |      1       |    OK   
   7     |    11    |      1       |      1       |    OK   
   8     |    70    |      1       |      1       |    OK   
   9     |    48    |      0       |      1       | INVÁLIDO
   10    |    93    |      1       |      1       |    OK   
   11    |    72    |      0       |      1       | INVÁLIDO
   12    |    71    |      0       |      0       |    OK   
   13    |    19    |      1       |      1       |    OK   
   14    |    14    |      1       |      0       | INVÁLIDO
   15    |    43    |      0       |      0       |    OK   
   16    |    31    |      1       |      1       |    OK   
   17    |    97    |      1       |      1       |    OK   
   18    |    40    |      0       |      1       | INVÁLIDO
   19    |    77    |      0       |      1       | INVÁLIDO
   20    |    99    |      0       |      1       | INVÁLIDO
   21    |    26    |      1       |      1       |    OK   
   22    |    64    |      1       |      1       |    OK   
   23    |    21    |      1       |      1       |    OK   
   24    |    10    |      0       |      0       |    OK   
   25    |    64    |      1       |      1       |    OK   
   26    |    67    |      1       |      1       |    OK   
   27    |    49    |      1       |      1       |    OK   
   28    |    90    |      0       |      1       | INVÁLIDO
   29    |    12    |      0       |      0       |    OK   
   30    |   119    |      0       |      1       | INVÁLIDO
   31    |    41    |      1       |      1       |    OK   
   32    |    80    |      0       |      0       |    OK   
   33    |    85    |      0       |      0       |    OK   
   34    |    99    |      0       |      0       |    OK   
   35    |   105    |      0       |      0       |    OK   
   36    |    58    |      0       |      0       |    OK   
   37    |    69    |      1       |      1       |    OK   
   38    |   115    |      1       |      1       |    OK   
   39    |    7     |      1       |      1       |    OK   
   40    |   101    |      0       |      0       |    OK   
   41    |    85    |      0       |      0       |    OK   
   42    |    54    |      0       |      0       |    OK   
   43    |    65    |      0       |      0       |    OK   
   44    |    38    |      1       |      1       |    OK   
   45    |    26    |      1       |      1       |    OK   
   46    |    45    |      0       |      0       |    OK   
   47    |    15    |      0       |      0       |    OK   
   48    |    57    |      0       |      0       |    OK   
   49    |    57    |      0       |      0       |    OK   
   50    |    15    |      0       |      0       |    OK   
   51    |    48    |      0       |      0       |    OK   
   52    |    8     |      1       |      0       | INVÁLIDO
   53    |    99    |      0       |      0       |    OK   
   54    |    68    |      0       |      0       |    OK   
   55    |    83    |      0       |      1       | INVÁLIDO
   56    |    94    |      1       |      1       |    OK   
   57    |   126    |      0       |      0       |    OK   
   58    |    5     |      0       |      0       |    OK   
   59    |   125    |      0       |      0       |    OK   
   60    |   103    |      1       |      1       |    OK   
   61    |    15    |      0       |      1       | INVÁLIDO
   62    |    59    |      1       |      1       |    OK   
   63    |    32    |      1       |      0       | INVÁLIDO
   64    |   123    |      0       |      0       |    OK   

RESUMO: Foram encontrados erros nos índices: [9, 11, 14, 18, 19, 20, 28, 30, 52, 55, 61, 63]
